epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.0053,1.27449,2.40869,1.47935,0.29136,0.20043,0.16905,0.08486,2.25488,5.88754,3.52635,0.000470226,0.000470226,0.000470226
2,82.8922,1.4132,1.78813,1.53235,0.01043,0.10545,0.00394,0.00153,3.0122,20.0616,7.4102,0.000937189,0.000937189,0.000937189
3,125.909,1.42741,1.77413,1.57253,0.01269,0.27139,0.00511,0.00212,nan,nan,nan,0.00139472,0.00139472,0.00139472
4,167.358,1.36091,1.5772,1.50253,0.44036,0.54298,0.48085,0.21779,1.88195,4.12003,2.96193,0.00138656,0.00138656,0.00138656
5,213.433,1.30408,1.44837,1.4714,0.64285,0.54213,0.61156,0.36309,1.33626,2.18787,1.72628,0.00137241,0.00137241,0.00137241
6,259.725,1.23163,1.30103,1.4059,0.41041,0.57542,0.49866,0.29801,1.47977,5.05554,2.04937,0.00135826,0.00135826,0.00135826
7,293.767,1.167,1.23725,1.38048,0.741,0.77968,0.83913,0.59291,1.05982,1.26772,1.51744,0.00134412,0.00134412,0.00134412
8,327.91,1.14149,1.19348,1.34561,0.80378,0.81313,0.86242,0.5805,1.11727,0.97763,1.54525,0.00132997,0.00132997,0.00132997
9,362.276,1.1022,1.11621,1.31133,0.81496,0.7965,0.88003,0.62404,1.0564,1.01666,1.45425,0.00131582,0.00131582,0.00131582
10,397.873,1.13661,1.12629,1.334,0.89357,0.81242,0.89135,0.63777,1.01997,0.84931,1.4477,0.00130168,0.00130168,0.00130168
11,433.165,1.08345,1.02371,1.30019,0.87333,0.8199,0.89688,0.63062,1.05958,0.802,1.48081,0.00128753,0.00128753,0.00128753
12,468.059,1.07696,1.02965,1.29283,0.86265,0.77485,0.89318,0.6625,0.97357,0.83689,1.38943,0.00127338,0.00127338,0.00127338
13,499.654,1.03998,0.97343,1.25786,0.8783,0.83651,0.89998,0.64778,0.94304,0.77455,1.33191,0.00125923,0.00125923,0.00125923
14,529.272,1.02282,0.94823,1.26088,0.87258,0.83231,0.91384,0.66941,0.9676,0.70068,1.36396,0.00124509,0.00124509,0.00124509
15,559.999,1.04352,0.96355,1.25981,0.81761,0.79518,0.8634,0.65437,0.9214,0.847,1.34581,0.00123094,0.00123094,0.00123094
16,588.709,1.02047,0.93483,1.26731,0.88888,0.87363,0.9008,0.65014,0.9857,0.75529,1.36753,0.00121679,0.00121679,0.00121679
