epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.9801,1.08615,2.11677,1.3989,0.14026,0.08176,0.05467,0.02447,3.05834,inf,4.90006,0.000467346,0.000467346,0.000467346
2,55.9522,1.24105,1.57628,1.48072,0.00495,0.00657,0.00042,9e-05,4.21044,19.026,17.3377,0.000934337,0.000934337,0.000934337
3,76.3252,1.27396,1.52496,1.47574,0.05033,0.18904,0.04566,0.01863,2.72544,63.1813,4.99887,0.0013919,0.0013919,0.0013919
4,96.4665,1.2182,1.36856,1.42896,0.32773,0.28914,0.23962,0.11115,1.6628,5.83029,2.72316,0.00138656,0.00138656,0.00138656
5,117.925,1.19036,1.29099,1.42742,0.56215,0.41818,0.4244,0.26238,1.46637,3.34806,1.98617,0.00137241,0.00137241,0.00137241
6,139.47,1.09498,1.13984,1.33005,0.32763,0.47841,0.31437,0.2017,1.41706,2.47504,1.79371,0.00135826,0.00135826,0.00135826
7,159.677,1.05801,1.10723,1.33068,0.63084,0.49386,0.50531,0.31135,1.31192,2.35013,1.78299,0.00134412,0.00134412,0.00134412
8,182.306,1.03011,1.00881,1.2975,0.68532,0.58719,0.65813,0.4512,1.1722,1.73681,1.50708,0.00132997,0.00132997,0.00132997
9,203.939,1.0217,0.99951,1.30433,0.69772,0.68393,0.70545,0.4688,1.1335,1.3752,1.44281,0.00131582,0.00131582,0.00131582
10,225.507,1.01188,0.97544,1.28994,0.8353,0.7176,0.84,0.58438,1.05673,1.07566,1.37887,0.00130168,0.00130168,0.00130168
11,247.206,0.97975,0.92858,1.27119,0.76818,0.78432,0.80697,0.55908,1.04024,0.95128,1.38502,0.00128753,0.00128753,0.00128753
12,267.646,0.9177,0.85272,1.23438,0.87154,0.84271,0.87195,0.59713,1.04107,0.85039,1.37468,0.00127338,0.00127338,0.00127338
13,289.261,0.92582,0.83535,1.22157,0.75068,0.80033,0.81638,0.58586,1.03022,0.88105,1.34775,0.00125923,0.00125923,0.00125923
14,309.74,0.92334,0.85272,1.22914,0.9086,0.78206,0.87321,0.59143,1.00141,0.86051,1.28835,0.00124509,0.00124509,0.00124509
15,330.075,0.89311,0.80094,1.21604,0.78611,0.83125,0.86399,0.62625,0.94588,0.80692,1.27315,0.00123094,0.00123094,0.00123094
16,353.255,0.9249,0.80721,1.2125,0.87205,0.86505,0.89658,0.63541,0.96171,0.71713,1.27454,0.00121679,0.00121679,0.00121679
